year	month	ensemble	obc_phy_config
2015	01	01	/work5/rnp/IC-BC-GOA/CEFI-regional-MOM6/tools/IC-OBC-FCST-clean_v3_july26/generated_configs/2015/01/e01/obc_phy.yaml
2015	01	02	/work5/rnp/IC-BC-GOA/CEFI-regional-MOM6/tools/IC-OBC-FCST-clean_v3_july26/generated_configs/2015/01/e02/obc_phy.yaml
2015	01	03	/work5/rnp/IC-BC-GOA/CEFI-regional-MOM6/tools/IC-OBC-FCST-clean_v3_july26/generated_configs/2015/01/e03/obc_phy.yaml
2015	01	04	/work5/rnp/IC-BC-GOA/CEFI-regional-MOM6/tools/IC-OBC-FCST-clean_v3_july26/generated_configs/2015/01/e04/obc_phy.yaml
2015	01	05	/work5/rnp/IC-BC-GOA/CEFI-regional-MOM6/tools/IC-OBC-FCST-clean_v3_july26/generated_configs/2015/01/e05/obc_phy.yaml
2015	04	01	/work5/rnp/IC-BC-GOA/CEFI-regional-MOM6/tools/IC-OBC-FCST-clean_v3_july26/generated_configs/2015/04/e01/obc_phy.yaml
2015	04	02	/work5/rnp/IC-BC-GOA/CEFI-regional-MOM6/tools/IC-OBC-FCST-clean_v3_july26/generated_configs/2015/04/e02/obc_phy.yaml
2015	04	03	/work5/rnp/IC-BC-GOA/CEFI-regional-MOM6/tools/IC-OBC-FCST-clean_v3_july26/generated_configs/2015/04/e03/obc_phy.yaml
2015	04	04	/work5/rnp/IC-BC-GOA/CEFI-regional-MOM6/tools/IC-OBC-FCST-clean_v3_july26/generated_configs/2015/04/e04/obc_phy.yaml
2015	04	05	/work5/rnp/IC-BC-GOA/CEFI-regional-MOM6/tools/IC-OBC-FCST-clean_v3_july26/generated_configs/2015/04/e05/obc_phy.yaml
2015	07	01	/work5/rnp/IC-BC-GOA/CEFI-regional-MOM6/tools/IC-OBC-FCST-clean_v3_july26/generated_configs/2015/07/e01/obc_phy.yaml
